Id,Name,ScheduleId,TotalArrivalTime,Latitude,Longitude
363,Stop 363,3,63,12.1310096,-86.2331681
364,Stop 364,3,63,12.1254386,-86.2308942
365,Stop 365,3,63,12.122523,-86.2318039
366,Stop 366,3,63,12.1198732,-86.2319782
367,Stop 367,3,63,12.1217318,-86.2281988
368,Stop 368,3,63,12.1209281,-86.2253589
369,Stop 369,3,63,12.1228539,-86.2240672
370,Stop 370,3,63,12.1248137,-86.2236384
371,Stop 371,3,63,12.1266167,-86.2232401
372,Stop 372,3,63,12.1288595,-86.2214981
373,Stop 373,3,63,12.1286691,-86.2196044
374,Stop 374,3,63,12.1279566,-86.2141762
375,Stop 375,3,63,12.1276504,-86.2119791
376,Stop 376,3,63,12.1272342,-86.2093242
377,Stop 377,3,63,12.1266587,-86.2066634
378,Stop 378,3,63,12.1269069,-86.2036062
379,Stop 379,3,63,12.1297164,-86.2017682
380,Stop 380,3,63,12.1329838,-86.1995644
381,Stop 381,3,63,12.1339029,-86.1978481
382,Stop 382,3,63,12.1349562,-86.194397
383,Stop 383,4,63,12.1349832,-86.1946597
384,Stop 384,4,63,12.1338965,-86.199187
385,Stop 385,4,63,12.1302349,-86.2016047
386,Stop 386,4,63,12.1277488,-86.2032044
387,Stop 387,4,63,12.1261232,-86.2048215
388,Stop 388,4,63,12.1267478,-86.2064952
389,Stop 389,4,63,12.1274807,-86.2097171
390,Stop 390,4,63,12.1278606,-86.2118962
391,Stop 391,4,63,12.1283718,-86.2158967
392,Stop 392,4,63,12.1286856,-86.2184971
393,Stop 393,4,63,12.1284792,-86.2223622
394,Stop 394,4,63,12.1266488,-86.2233555
395,Stop 395,4,63,12.1250024,-86.2237018
396,Stop 396,4,63,12.1235681,-86.2240269
397,Stop 397,4,63,12.1208984,-86.224869
398,Stop 398,4,63,12.1219175,-86.2285494
399,Stop 399,4,63,12.1209491,-86.2308747
400,Stop 400,4,63,12.119937,-86.2319062
401,Stop 401,4,63,12.1206488,-86.2327811
402,Stop 402,4,63,12.1285562,-86.2333853
403,Stop 403,4,63,12.1286652,-86.2329833
404,Stop 404,4,63,12.1324436,-86.23534
405,Stop 405,4,63,12.1341979,-86.2381699
406,Stop 406,4,63,12.1359198,-86.2382537
407,Stop 407,4,63,12.139216,-86.2378737
408,Stop 408,4,63,12.1422411,-86.2376928
409,Stop 409,4,63,12.1446514,-86.2375131
410,Stop 410,4,63,12.1456917,-86.237454
411,Stop 411,4,63,12.1482085,-86.2372477
412,Stop 412,4,63,12.1514066,-86.2369377
413,Stop 413,4,63,12.1521471,-86.2427114
414,Stop 414,4,63,12.1524421,-86.2460419
415,Stop 415,4,63,12.1526418,-86.2482814
416,Stop 416,4,63,12.151711,-86.2491565
417,Stop 417,4,63,12.1484197,-86.2495522
418,Stop 418,4,63,12.145137,-86.2515321
419,Stop 419,4,63,12.1453802,-86.2536353
420,Stop 420,4,63,12.1444155,-86.2561512
421,Stop 421,4,63,12.1450611,-86.2598667
422,Stop 422,4,63,12.1450259,-86.2608299
423,Stop 423,4,63,12.1442184,-86.2667235
424,Stop 424,4,63,12.1455331,-86.2737374
425,Stop 425,4,63,12.1462149,-86.277966
426,Stop 426,4,63,12.1474785,-86.2821575
427,Stop 427,4,63,12.152205,-86.2831289
428,Stop 428,4,63,12.1523206,-86.2851342
429,Stop 429,4,63,12.1556518,-86.2879709
430,Stop 430,4,63,12.1554633,-86.2917162
431,Stop 431,4,63,12.1542887,-86.298127
432,Stop 432,4,63,12.1536544,-86.3009335
433,Stop 433,4,63,12.1524888,-86.3059974
434,Stop 434,4,63,12.1516988,-86.3091274
435,Stop 435,4,63,12.1507533,-86.313194
436,Stop 436,4,63,12.1554934,-86.3147253
437,Stop 437,4,63,12.1578077,-86.3137174
438,Stop 438,4,63,12.1578077,-86.3137174
439,Stop 439,4,63,12.1559049,-86.3129332
440,Stop 440,4,63,12.154588,-86.3121211
441,Stop 441,4,63,12.1546594,-86.3106215
442,Stop 442,4,63,12.1523231,-86.3090229
443,Stop 443,4,63,12.1536263,-86.3061664
444,Stop 444,4,63,12.1556345,-86.3056112
445,Stop 445,4,63,12.1546795,-86.3039617
446,Stop 446,4,63,12.1533583,-86.3025501
447,Stop 447,4,63,12.1541202,-86.2984103
448,Stop 448,4,63,12.15467,-86.2961233
449,Stop 449,4,63,12.15543,-86.2910826
450,Stop 450,4,63,12.1547958,-86.288729
451,Stop 451,4,63,12.152348,-86.2883806
452,Stop 452,4,63,12.1522055,-86.2850996
453,Stop 453,4,63,12.15214,-86.2834939
454,Stop 454,4,63,12.1492573,-86.2821316
455,Stop 455,4,63,12.1458234,-86.2821416
456,Stop 456,4,63,12.145504,-86.2790944
457,Stop 457,4,63,12.1449178,-86.2761379
458,Stop 458,4,63,12.1453369,-86.2738749
459,Stop 459,4,63,12.1441639,-86.26712
460,Stop 460,4,63,12.144232,-86.2615905
461,Stop 461,4,63,12.1434856,-86.2592914
462,Stop 462,4,63,12.1426301,-86.2567191
463,Stop 463,4,63,12.1423045,-86.2532899
464,Stop 464,4,63,12.1435307,-86.2509417
465,Stop 465,4,63,12.1488611,-86.2490939
466,Stop 466,4,63,12.151989,-86.2490227
467,Stop 467,4,63,12.1525774,-86.248319
468,Stop 468,4,63,12.1523704,-86.246069
469,Stop 469,4,63,12.1520775,-86.2427903
470,Stop 470,4,63,12.1514163,-86.2370197
471,Stop 471,4,63,12.1482207,-86.2373478
472,Stop 472,4,63,12.14561,-86.2376122
473,Stop 473,4,63,12.1422472,-86.2378
474,Stop 474,4,63,12.1396747,-86.2379861
475,Stop 475,4,63,12.1360896,-86.2383542
476,Stop 476,4,63,12.1340124,-86.2383082
477,Stop 477,4,63,12.1310096,-86.2331681
478,Stop 478,4,63,12.1254386,-86.2308942
479,Stop 479,4,63,12.122523,-86.2318039
480,Stop 480,4,63,12.1198732,-86.2319782
481,Stop 481,4,63,12.1217318,-86.2281988
482,Stop 482,4,63,12.1209281,-86.2253589
483,Stop 483,4,63,12.1228539,-86.2240672
484,Stop 484,4,63,12.1248137,-86.2236384
485,Stop 485,4,63,12.1266167,-86.2232401
486,Stop 486,4,63,12.1288595,-86.2214981
487,Stop 487,4,63,12.1286691,-86.2196044
488,Stop 488,4,63,12.1279566,-86.2141762
489,Stop 489,4,63,12.1276504,-86.2119791
490,Stop 490,4,63,12.1272342,-86.2093242
491,Stop 491,4,63,12.1266587,-86.2066634
492,Stop 492,4,63,12.1269069,-86.2036062
493,Stop 493,4,63,12.1297164,-86.2017682
494,Stop 494,4,63,12.1329838,-86.1995644
495,Stop 495,4,63,12.1339029,-86.1978481
496,Stop 496,4,63,12.1349562,-86.194397
497,Stop 497,5,66,12.1349832,-86.1946597
498,Stop 498,5,66,12.1338965,-86.199187
499,Stop 499,5,66,12.1302349,-86.2016047
500,Stop 500,5,66,12.1277488,-86.2032044
501,Stop 501,5,66,12.1261232,-86.2048215
502,Stop 502,5,66,12.1267478,-86.2064952
503,Stop 503,5,66,12.1274807,-86.2097171
504,Stop 504,5,66,12.1278606,-86.2118962
505,Stop 505,5,66,12.1283718,-86.2158967
506,Stop 506,5,66,12.1315196,-86.2171498
507,Stop 507,5,66,12.134993,-86.2169395
508,Stop 508,5,66,12.1382629,-86.2190948
509,Stop 509,5,66,12.1385024,-86.2219929
510,Stop 510,5,66,12.1384094,-86.2239746
511,Stop 511,5,66,12.1383588,-86.2270693
512,Stop 512,5,66,12.1384584,-86.2292108
513,Stop 513,5,66,12.1391109,-86.2307829
514,Stop 514,5,66,12.1389148,-86.2324411
515,Stop 515,5,66,12.1403075,-86.2331928
516,Stop 516,5,66,12.1449986,-86.2337504
517,Stop 517,5,66,12.146071,-86.2346202
518,Stop 518,5,66,12.1464726,-86.2378891
519,Stop 519,5,66,12.1462692,-86.2426253
520,Stop 520,5,66,12.1464885,-86.2467561
521,Stop 521,5,66,12.1456223,-86.2496603
522,Stop 522,5,66,12.145137,-86.2515321
523,Stop 523,5,66,12.1453802,-86.2536353
524,Stop 524,5,66,12.1444155,-86.2561512
525,Stop 525,5,66,12.1443419,-86.2599037
526,Stop 526,5,66,12.1404057,-86.2596442
527,Stop 527,5,66,12.1368968,-86.2587209
528,Stop 528,5,66,12.1343412,-86.2580202
529,Stop 529,5,66,12.1310282,-86.2615299
530,Stop 530,5,66,12.1296217,-86.265121
531,Stop 531,5,66,12.1268021,-86.2715981
532,Stop 532,5,66,12.1266796,-86.2748462
533,Stop 533,5,66,12.1308702,-86.2747835
534,Stop 534,5,66,12.1360957,-86.2769441
535,Stop 535,5,66,12.1361619,-86.2811341
536,Stop 536,5,66,12.1407099,-86.282787
537,Stop 537,5,66,12.1443083,-86.2824326
538,Stop 538,5,66,12.1472544,-86.2836966
539,Stop 539,5,66,12.1479743,-86.2876242
540,Stop 540,5,66,12.1496143,-86.2883143
541,Stop 541,5,66,12.1498155,-86.2923632
542,Stop 542,5,66,12.1500846,-86.2951082
543,Stop 543,5,66,12.1502297,-86.2971863
544,Stop 544,5,66,12.1512267,-86.2972038
545,Stop 545,5,66,12.1521258,-86.2971893
546,Stop 546,5,66,12.1574344,-86.2969299
547,Stop 547,5,66,12.157764,-86.2956546
548,Stop 548,5,66,12.160061,-86.2937983
549,Stop 549,5,66,12.1613245,-86.29365
550,Stop 550,5,66,12.1633156,-86.2934276
551,Stop 551,5,66,12.1633231,-86.2935235
552,Stop 552,5,66,12.1627215,-86.2935968
553,Stop 553,5,66,12.1618616,-86.2936746
554,Stop 554,5,66,12.1613314,-86.2937292
555,Stop 555,5,66,12.1600672,-86.2938566
556,Stop 556,5,66,12.1578692,-86.2948197
557,Stop 557,5,66,12.1574349,-86.2970572
